"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Verify the main links on homepage to assert that the pages open correctly","SKIPPED","2017-12-18T15:48:52.808-05:00[America/New_York]","0.0","26.72"
"Regression checklist","Verify states in the declared disaster map are clickable","SKIPPED","2017-12-18T15:49:19.733-05:00[America/New_York]","0.0","10.15"
"Regression checklist","Verify the declared states on the declared disaster map","SKIPPED","2017-12-18T15:49:29.892-05:00[America/New_York]","0.0","10.15"
"Regression checklist","Verify Local Resources flows correctly","SKIPPED","2017-12-18T15:49:40.044-05:00[America/New_York]","0.0","14.16"
"Regression checklist","Verify all of the titles on the ""News Feeds"" landing page node","SKIPPED","2017-12-18T15:49:54.204-05:00[America/New_York]","0.0","10.17"
"Regression checklist","Verify the results of the quick search items","SKIPPED","2017-12-18T15:50:04.373-05:00[America/New_York]","0.0","32.52"
"Regression checklist","Verify the declared disasters with Address Look-up","SKIPPED","2017-12-18T15:50:36.907-05:00[America/New_York]","0.0","20.3"
"Regression checklist","Verify benefits results display according to use cases","SKIPPED","2017-12-18T15:50:57.208-05:00[America/New_York]","0.0","13.16"
"Regression checklist","Dynamically verify results of the questionnaire on the ""Find Assistance"" page","SKIPPED","2017-12-18T15:51:10.371-05:00[America/New_York]","0.0","28.27"
"Regression checklist","Verify that the FEMA Twitter feed is present on the News Feeds page","SKIPPED","2017-12-18T15:51:38.647-05:00[America/New_York]","0.0","10.15"
