"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Get Assistance"" tab","SKIPPED","2018-02-06T17:38:02.7-05:00[America/New_York]","0.0","42.88"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Information"" tab","SKIPPED","2018-02-06T17:38:45.586-05:00[America/New_York]","0.0","41.05"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""About Us"" tab","SKIPPED","2018-02-06T17:39:26.636-05:00[America/New_York]","0.0","24.61"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Help"" tab","SKIPPED","2018-02-06T17:39:51.251-05:00[America/New_York]","0.0","26.46"
"Regression checklist spanish","(Spanish) Homepage - Key Links - Main links on homepage to assert that the Spanish pages open correctly","SKIPPED","2018-02-06T17:40:17.715-05:00[America/New_York]","0.0","28.48"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - States in the Spanish declared disaster map are clickable","SKIPPED","2018-02-06T17:40:46.205-05:00[America/New_York]","0.0","10.04"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - The declared states on the declared disaster map","SKIPPED","2018-02-06T17:40:56.252-05:00[America/New_York]","0.0","10.25"
"Regression checklist spanish","(Spanish) Homepage - Find Local Resources flows correctly in Spanish","SKIPPED","2018-02-06T17:41:06.507-05:00[America/New_York]","0.0","14.27"
"Regression checklist spanish","(Spanish) News Feeds - All of the titles on the page","SKIPPED","2018-02-06T17:41:20.784-05:00[America/New_York]","0.0","10.26"
"Regression checklist spanish","(Spanish) Community Leaders - Results of the quick search items","SKIPPED","2018-02-06T17:41:31.05-05:00[America/New_York]","0.0","36.83"
"Regression checklist spanish","(Spanish) Homepage - Address Look-Up - Declared disasters","SKIPPED","2018-02-06T17:42:07.886-05:00[America/New_York]","0.0","20.28"
"Regression checklist spanish","(Spanish) Find Assistance - Spanish benefits results display according to use cases","SKIPPED","2018-02-06T17:42:28.165-05:00[America/New_York]","0.0","13.16"
"Regression checklist spanish","(Spanish) News Feeds - FEMA Twitter feed is present","SKIPPED","2018-02-06T17:43:24.018-05:00[America/New_York]","0.0","10.17"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the first seven types","SKIPPED","2018-02-06T17:43:34.187-05:00[America/New_York]","0.0","20.29"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the next eight types","SKIPPED","2018-02-06T17:43:54.479-05:00[America/New_York]","0.0","20.3"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the first seven types","SKIPPED","2018-02-06T17:44:14.785-05:00[America/New_York]","0.0","20.3"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the next seven types","SKIPPED","2018-02-06T17:44:35.088-05:00[America/New_York]","0.0","20.3"
