"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Verify all the menu links on the ""Get Assistance"" tab","SKIPPED","2018-01-24T11:56:06.502-05:00[America/New_York]","0.0","53.15"
"Regression checklist","Verify all the menu links on the ""Information"" tab","SKIPPED","2018-01-24T11:56:59.869-05:00[America/New_York]","0.0","52.68"
"Regression checklist","Verify all the menu links on the ""About Us"" tab","SKIPPED","2018-01-24T11:57:52.559-05:00[America/New_York]","0.0","24.29"
"Regression checklist","Verify all the menu links on the ""Help"" tab","SKIPPED","2018-01-24T11:58:16.858-05:00[America/New_York]","0.0","36.46"
"Regression checklist","Verify the main links on homepage to assert that the pages open correctly","SKIPPED","2018-01-24T11:58:53.322-05:00[America/New_York]","0.0","26.36"
"Regression checklist","Verify states in the declared disaster map are clickable","SKIPPED","2018-01-24T11:59:19.69-05:00[America/New_York]","0.0","10.16"
"Regression checklist","Verify the declared states on the declared disaster map","SKIPPED","2018-01-24T11:59:29.849-05:00[America/New_York]","0.0","10.16"
"Regression checklist","Verify Local Resources flows correctly","SKIPPED","2018-01-24T11:59:40.016-05:00[America/New_York]","0.0","14.15"
"Regression checklist","Verify all of the titles on the ""News Feeds"" landing page node","SKIPPED","2018-01-24T11:59:54.167-05:00[America/New_York]","0.0","10.14"
"Regression checklist","Verify the results of the quick search items","SKIPPED","2018-01-24T12:00:04.31-05:00[America/New_York]","0.0","32.49"
"Regression checklist","Verify the declared disasters with Address Look-up","SKIPPED","2018-01-24T12:00:36.802-05:00[America/New_York]","0.0","20.3"
"Regression checklist","Verify benefits results display according to use cases","SKIPPED","2018-01-24T12:00:57.107-05:00[America/New_York]","0.0","13.17"
"Regression checklist","Dynamically verify results of the questionnaire on the ""Find Assistance"" page","SKIPPED","2018-01-24T12:01:10.278-05:00[America/New_York]","0.0","28.22"
"Regression checklist","Verify all the functionality of the FOA questionnaire","SUCCESS","2018-01-24T12:01:38.503-05:00[America/New_York]","0.0","34.16"
"Regression checklist","Verify that the FEMA Twitter feed is present on the News Feeds page","SKIPPED","2018-01-24T12:02:12.755-05:00[America/New_York]","0.0","10.17"
"Regression checklist","Verify the Category Type filter with the first seven types on the Forms of Assistance page","SKIPPED","2018-01-24T12:02:22.931-05:00[America/New_York]","0.0","20.25"
"Regression checklist","Verify the Category Type filter with the next eight types on the Forms of Assistance page","SKIPPED","2018-01-24T12:02:43.187-05:00[America/New_York]","0.0","20.27"
"Regression checklist","Verify the Federal Agency filter on the Forms of Assistance page","SKIPPED","2018-01-24T12:03:03.458-05:00[America/New_York]","0.0","20.3"
"Regression checklist","Verify the Federal Agency filter with the next seven types on the Forms of Assistance page","SKIPPED","2018-01-24T12:03:23.758-05:00[America/New_York]","0.0","20.25"
