"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Verify all the menu links on the ""Get Assistance"" tab","SKIPPED","2018-01-08T12:45:52.642-05:00[America/New_York]","0.0","53.25"
"Regression checklist","Verify all the menu links on the ""Information"" tab","SKIPPED","2018-01-08T12:46:46.137-05:00[America/New_York]","0.0","52.79"
"Regression checklist","Verify all the menu links on the ""About Us"" tab","SKIPPED","2018-01-08T12:47:38.942-05:00[America/New_York]","0.0","24.34"
"Regression checklist","Verify all the menu links on the ""Help"" tab","SKIPPED","2018-01-08T12:48:03.284-05:00[America/New_York]","0.0","36.47"
"Regression checklist","Verify the main links on homepage to assert that the pages open correctly","SKIPPED","2018-01-08T12:48:39.759-05:00[America/New_York]","0.0","26.34"
"Regression checklist","Verify states in the declared disaster map are clickable","SKIPPED","2018-01-08T12:49:06.107-05:00[America/New_York]","0.0","10.15"
"Regression checklist","Verify Local Resources flows correctly","SKIPPED","2018-01-08T12:49:42.774-05:00[America/New_York]","0.0","14.14"
"Regression checklist","Verify all of the titles on the ""News Feeds"" landing page node","SKIPPED","2018-01-08T12:49:56.926-05:00[America/New_York]","0.0","10.12"
"Regression checklist","Verify the results of the quick search items","SKIPPED","2018-01-08T12:50:07.051-05:00[America/New_York]","0.0","32.53"
"Regression checklist","Verify benefits results display according to use cases","SKIPPED","2018-01-08T12:51:10.865-05:00[America/New_York]","0.0","13.17"
"Regression checklist","Dynamically verify results of the questionnaire on the ""Find Assistance"" page","SKIPPED","2018-01-08T12:51:24.041-05:00[America/New_York]","0.0","28.3"
"Regression checklist","Verify that the FEMA Twitter feed is present on the News Feeds page","SKIPPED","2018-01-08T12:52:28.832-05:00[America/New_York]","0.0","10.17"
"Regression checklist","Verify the Category Type filter with the first seven types on the Forms of Assistance page","PENDING","2018-01-08T12:52:39.008-05:00[America/New_York]","0.0","22.43"
"Regression checklist","Verify the Category Type filter with the next eight types on the Forms of Assistance page","PENDING","2018-01-08T12:53:01.494-05:00[America/New_York]","0.0","31.61"
"Regression checklist","Verify the Federal Agency filter on the Forms of Assistance page","SKIPPED","2018-01-08T12:53:33.155-05:00[America/New_York]","0.0","20.28"
"Regression checklist","Verify the Federal Agency filter with the next seven types on the Forms of Assistance page","SKIPPED","2018-01-08T12:53:53.442-05:00[America/New_York]","0.0","20.27"
