"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SKIPPED","2018-02-07T11:52:43.828-05:00[America/New_York]","0.0","53.39"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SKIPPED","2018-02-07T11:53:37.431-05:00[America/New_York]","0.0","52.88"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SKIPPED","2018-02-07T11:54:30.321-05:00[America/New_York]","0.0","24.36"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SKIPPED","2018-02-07T11:54:54.69-05:00[America/New_York]","0.0","36.58"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SKIPPED","2018-02-07T11:55:31.274-05:00[America/New_York]","0.0","26.4"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SKIPPED","2018-02-07T11:55:57.681-05:00[America/New_York]","0.0","10.15"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SKIPPED","2018-02-07T11:56:07.837-05:00[America/New_York]","0.0","10.16"
"Regression checklist","Homepage - Find Local Resources flows correctly","SKIPPED","2018-02-07T11:56:17.997-05:00[America/New_York]","0.0","14.16"
"Regression checklist","Community Leaders - Results of the quick search items","SKIPPED","2018-02-07T11:56:38.779-05:00[America/New_York]","0.0","36.6"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SKIPPED","2018-02-07T11:57:25.859-05:00[America/New_York]","0.0","13.19"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SKIPPED","2018-02-07T11:57:39.056-05:00[America/New_York]","0.0","28.26"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SKIPPED","2018-02-07T11:58:07.317-05:00[America/New_York]","0.0","50.52"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SKIPPED","2018-02-07T11:58:57.836-05:00[America/New_York]","0.0","10.15"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SKIPPED","2018-02-07T11:59:07.988-05:00[America/New_York]","0.0","20.23"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SKIPPED","2018-02-07T11:59:28.216-05:00[America/New_York]","0.0","20.27"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","SKIPPED","2018-02-07T11:59:48.488-05:00[America/New_York]","0.0","20.28"
"Regression checklist","Forms of Assistance - Federal Agency filter with the next seven types","SKIPPED","2018-02-07T12:00:08.775-05:00[America/New_York]","0.0","20.27"
