"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-02-09T11:42:52.916-05:00[America/New_York]","0.0","58.37"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-02-09T11:43:51.288-05:00[America/New_York]","0.0","56.75"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-02-09T11:44:48.042-05:00[America/New_York]","0.0","13.73"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-02-09T11:45:01.772-05:00[America/New_York]","0.0","37.44"
"Regression checklist spanish","(Spanish) Homepage - Key Links - Main links on homepage to assert that the Spanish pages open correctly","SUCCESS","2018-02-09T11:45:39.214-05:00[America/New_York]","0.0","20.35"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - States in the Spanish declared disaster map are clickable","SUCCESS","2018-02-09T11:45:59.564-05:00[America/New_York]","0.0","3.78"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-02-09T11:46:03.4-05:00[America/New_York]","0.0","69.24"
"Regression checklist spanish","(Spanish) Homepage - Find Local Resources flows correctly in Spanish","SUCCESS","2018-02-09T11:47:12.688-05:00[America/New_York]","0.0","10.68"
"Regression checklist spanish","(Spanish) News Feeds - All of the titles on the page","SUCCESS","2018-02-09T11:47:23.416-05:00[America/New_York]","0.0","12.45"
"Regression checklist spanish","(Spanish) Community Leaders - Results of the quick search items","ERROR","2018-02-09T11:47:35.921-05:00[America/New_York]","0.0","50.08"
"Regression checklist spanish","(Spanish) Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-02-09T11:48:26.14-05:00[America/New_York]","0.0","10.69"
"Regression checklist spanish","(Spanish) Find Assistance - Spanish benefits results display according to use cases","SUCCESS","2018-02-09T11:48:36.886-05:00[America/New_York]","0.0","14.61"
"Regression checklist spanish","(Spanish) Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-02-09T11:48:51.548-05:00[America/New_York]","0.0","25.22"
"Regression checklist spanish","(Spanish) Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-02-09T11:49:16.816-05:00[America/New_York]","0.0","33.26"
"Regression checklist spanish","(Spanish) News Feeds - FEMA Twitter feed is present","SUCCESS","2018-02-09T11:49:50.124-05:00[America/New_York]","0.0","6.17"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-02-09T11:49:56.344-05:00[America/New_York]","0.0","39.92"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-02-09T11:50:36.312-05:00[America/New_York]","0.0","45.64"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the first seven types","FAILURE","2018-02-09T11:51:22.004-05:00[America/New_York]","0.0","16.92"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the next seven types","FAILURE","2018-02-09T11:51:39.006-05:00[America/New_York]","0.0","16.4"
