"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SKIPPED","2018-03-09T13:00:03.798-05:00[America/New_York]","0.0","53.42"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SKIPPED","2018-03-09T13:00:57.429-05:00[America/New_York]","0.0","52.77"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SKIPPED","2018-03-09T13:01:50.213-05:00[America/New_York]","0.0","24.34"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SKIPPED","2018-03-09T13:02:14.556-05:00[America/New_York]","0.0","36.56"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SKIPPED","2018-03-09T13:02:51.125-05:00[America/New_York]","0.0","26.37"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SKIPPED","2018-03-09T13:03:17.499-05:00[America/New_York]","0.0","10.15"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SKIPPED","2018-03-09T13:03:27.655-05:00[America/New_York]","0.0","10.13"
"Regression checklist","Homepage - Find Local Resources flows correctly","SKIPPED","2018-03-09T13:03:37.787-05:00[America/New_York]","0.0","14.12"
"Regression checklist","News Feeds - All of the titles on the page","SKIPPED","2018-03-09T13:03:51.914-05:00[America/New_York]","0.0","10.12"
"Regression checklist","Community Leaders - Results of the quick search items","SKIPPED","2018-03-09T13:04:02.034-05:00[America/New_York]","0.0","36.53"
"Regression checklist","Homepage - Address Look-Up - Declared disasters","SKIPPED","2018-03-09T13:04:38.573-05:00[America/New_York]","0.0","20.25"
"Regression checklist","Address Look-Up - Declared disasters","SKIPPED","2018-03-09T13:04:58.824-05:00[America/New_York]","0.0","20.27"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SKIPPED","2018-03-09T13:05:19.096-05:00[America/New_York]","0.0","13.15"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SKIPPED","2018-03-09T13:05:32.245-05:00[America/New_York]","0.0","28.26"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SKIPPED","2018-03-09T13:06:00.509-05:00[America/New_York]","0.0","50.5"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SKIPPED","2018-03-09T13:06:51.009-05:00[America/New_York]","0.0","10.16"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SKIPPED","2018-03-09T13:07:01.17-05:00[America/New_York]","0.0","20.23"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SKIPPED","2018-03-09T13:07:21.404-05:00[America/New_York]","0.0","20.24"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","SKIPPED","2018-03-09T13:07:41.644-05:00[America/New_York]","0.0","20.28"
"Regression checklist","Forms of Assistance - Federal Agency filter with the next seven types","SKIPPED","2018-03-09T13:08:01.927-05:00[America/New_York]","0.0","20.28"
"Regression checklist","Homepage - ""Apply Online"" DAC page includes mobile flag","SKIPPED","2018-03-09T13:08:22.206-05:00[America/New_York]","0.0","10.11"
"Regression checklist","Homepage - ""Check Status"" DAC page includes mobile flag","SKIPPED","2018-03-09T13:08:32.319-05:00[America/New_York]","0.0","10.11"
"Regression checklist","Community Leaders - Type keyword into search bar","SKIPPED","2018-03-09T13:08:42.43-05:00[America/New_York]","0.0","20.29"
"Regression checklist","Sitemap - All links in Sitemap point to the right page","FAILURE","2018-03-09T13:09:02.723-05:00[America/New_York]","0.0","288.02"
