"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist spanish","(Spanish) Verify all the menu links on the ""Get Assistance"" tab","SKIPPED","2018-01-08T13:14:10.816-05:00[America/New_York]","0.0","42.63"
"Regression checklist spanish","(Spanish) Verify all the menu links on the ""Information"" tab","SKIPPED","2018-01-08T13:14:53.452-05:00[America/New_York]","0.0","40.59"
"Regression checklist spanish","(Spanish) Verify all the menu links on the ""About Us"" tab","SKIPPED","2018-01-08T13:15:34.041-05:00[America/New_York]","0.0","24.3"
"Regression checklist spanish","(Spanish) Verify all the menu links on the ""Help"" tab","SKIPPED","2018-01-08T13:15:58.348-05:00[America/New_York]","0.0","26.43"
"Regression checklist spanish","(Spanish) Verify the main links on homepage to assert that the Spanish pages open correctly","SKIPPED","2018-01-08T13:16:24.785-05:00[America/New_York]","0.0","28.41"
"Regression checklist spanish","(Spanish) Verify states in the Spanish declared disaster map are clickable","SKIPPED","2018-01-08T13:16:53.197-05:00[America/New_York]","0.0","10.15"
"Regression checklist spanish","(Spanish) Verify the declared states on the declared disaster map","SKIPPED","2018-01-08T13:17:03.356-05:00[America/New_York]","0.0","10.18"
"Regression checklist spanish","(Spanish) Verify Local Resources flows correctly on the Spanish homepage","SKIPPED","2018-01-08T13:17:13.534-05:00[America/New_York]","0.0","14.15"
"Regression checklist spanish","(Spanish) Verify all of the titles on the ""News Feeds"" landing page node","SKIPPED","2018-01-08T13:17:27.687-05:00[America/New_York]","0.0","10.12"
"Regression checklist spanish","(Spanish) Verify the results of the quick search items","SKIPPED","2018-01-08T13:17:37.813-05:00[America/New_York]","0.0","36.46"
"Regression checklist spanish","(Spanish) Verify the declared disasters with Address Look-up","ERROR","2018-01-08T13:18:14.276-05:00[America/New_York]","0.0","25.92"
"Regression checklist spanish","(Spanish) Verify Spanish benefits results display according to use cases","SKIPPED","2018-01-08T13:18:40.324-05:00[America/New_York]","0.0","13.13"
"Regression checklist spanish","(Spanish) Dynamically verify results of the questionnaire on the ""Find Assistance"" page","SKIPPED","2018-01-08T13:18:53.46-05:00[America/New_York]","0.0","28.25"
"Regression checklist spanish","(Spanish) Verify all the functionality of the FOA questionnaire","SKIPPED","2018-01-08T13:19:21.716-05:00[America/New_York]","0.0","50.5"
"Regression checklist spanish","(Spanish) Verify that the FEMA Twitter feed is present on the Spanish homepage","SKIPPED","2018-01-08T13:20:12.221-05:00[America/New_York]","0.0","10.12"
"Regression checklist spanish","(Spanish) Verify the Category Type filter with the first seven types on the Forms of Assistance page","SUCCESS","2018-01-08T13:20:22.343-05:00[America/New_York]","0.0","31.29"
"Regression checklist spanish","(Spanish) Verify the Category Type filter with the next eight types on the Forms of Assistance page","FAILURE","2018-01-08T13:20:53.69-05:00[America/New_York]","0.0","29.68"
"Regression checklist spanish","(Spanish) Verify the Federal Agency filter on the Forms of Assistance page","SKIPPED","2018-01-08T13:21:23.489-05:00[America/New_York]","0.0","20.24"
"Regression checklist spanish","(Spanish) Verify the Federal Agency filter with the next seven types on the Forms of Assistance page","SKIPPED","2018-01-08T13:21:43.733-05:00[America/New_York]","0.0","20.26"
