"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Verify all the menu links on the ""Get Assistance"" tab","SKIPPED","2018-01-08T13:06:24.014-05:00[America/New_York]","0.0","53.31"
"Regression checklist","Verify all the menu links on the ""Information"" tab","SKIPPED","2018-01-08T13:07:17.538-05:00[America/New_York]","0.0","52.85"
"Regression checklist","Verify all the menu links on the ""About Us"" tab","SKIPPED","2018-01-08T13:08:10.397-05:00[America/New_York]","0.0","24.33"
"Regression checklist","Verify all the menu links on the ""Help"" tab","SKIPPED","2018-01-08T13:08:34.732-05:00[America/New_York]","0.0","36.54"
"Regression checklist","Verify the main links on homepage to assert that the pages open correctly","SKIPPED","2018-01-08T13:09:11.281-05:00[America/New_York]","0.0","26.39"
"Regression checklist","Verify states in the declared disaster map are clickable","SKIPPED","2018-01-08T13:09:37.678-05:00[America/New_York]","0.0","10.1"
"Regression checklist","Verify the declared states on the declared disaster map","FAILURE","2018-01-08T13:09:47.784-05:00[America/New_York]","0.0","18.3"
"Regression checklist","Verify Local Resources flows correctly","SKIPPED","2018-01-08T13:10:06.394-05:00[America/New_York]","0.0","14.16"
"Regression checklist","Verify all of the titles on the ""News Feeds"" landing page node","SKIPPED","2018-01-08T13:10:20.555-05:00[America/New_York]","0.0","10.15"
"Regression checklist","Verify the results of the quick search items","SKIPPED","2018-01-08T13:10:30.709-05:00[America/New_York]","0.0","32.42"
"Regression checklist","Verify the declared disasters with Address Look-up","ERROR","2018-01-08T13:11:03.138-05:00[America/New_York]","0.0","24.67"
"Regression checklist","Verify benefits results display according to use cases","SKIPPED","2018-01-08T13:11:27.901-05:00[America/New_York]","0.0","13.18"
"Regression checklist","Dynamically verify results of the questionnaire on the ""Find Assistance"" page","SKIPPED","2018-01-08T13:11:41.091-05:00[America/New_York]","0.0","28.24"
"Regression checklist","Verify all the functionality of the FOA questionnaire","SKIPPED","2018-01-08T13:12:09.337-05:00[America/New_York]","0.0","50.56"
"Regression checklist","Verify that the FEMA Twitter feed is present on the News Feeds page","SKIPPED","2018-01-08T13:12:59.902-05:00[America/New_York]","0.0","10.14"
"Regression checklist","Verify the Category Type filter with the first seven types on the Forms of Assistance page","SKIPPED","2018-01-08T13:13:10.045-05:00[America/New_York]","0.0","10.13"
"Regression checklist","Verify the Category Type filter with the next eight types on the Forms of Assistance page","SKIPPED","2018-01-08T13:13:20.18-05:00[America/New_York]","0.0","10.13"
"Regression checklist","Verify the Federal Agency filter on the Forms of Assistance page","SKIPPED","2018-01-08T13:13:30.317-05:00[America/New_York]","0.0","20.24"
